연도,시도,총계,공개경쟁채용_소계,공개경쟁채용_남성,공개경쟁채용_여성,경력경쟁채용_소계,경력경쟁채용_남성,경력경쟁채용_여성,경력경쟁채용_양성,출처파일
2024,합계,1683,758,693,65,925,643,228,54,24년.pdf
2024,중앙119구조본부,51,0,0,0,51,51,0,0,24년.pdf
2024,서울,227,67,61,6,160,111,38,11,24년.pdf
2024,부산,112,57,52,5,55,39,10,6,24년.pdf
2024,대구,61,32,26,6,29,19,7,3,24년.pdf
2024,인천,54,31,25,6,23,19,4,0,24년.pdf
2024,광주,59,34,32,2,25,14,11,0,24년.pdf
2024,대전,43,15,14,1,28,22,6,0,24년.pdf
2024,울산,44,20,16,4,24,18,3,3,24년.pdf
2024,세종,11,3,3,0,8,5,2,1,24년.pdf
2024,경기,390,200,195,5,190,105,85,0,24년.pdf
2024,강원,74,37,35,2,37,27,8,2,24년.pdf
2024,충북,56,28,26,2,28,20,8,0,24년.pdf
2024,충남,118,65,60,5,53,40,11,2,24년.pdf
2024,전북,96,23,20,3,73,59,11,3,24년.pdf
2024,전남,84,34,31,3,50,32,10,8,24년.pdf
2024,경북,41,24,22,2,17,10,5,2,24년.pdf
2024,경남,88,48,42,6,40,27,5,8,24년.pdf
2024,제주,39,22,18,4,17,12,2,3,24년.pdf
2024,창원,35,18,15,3,17,13,2,2,24년.pdf
2025,합계,1927,906,813,93,1021,735,234,52,25년.pdf
2025,중앙119구조본부,60,0,0,0,60,60,0,0,25년.pdf
2025,서울,305,170,152,18,135,92,32,11,25년.pdf
2025,부산,92,34,30,4,58,41,17,0,25년.pdf
2025,대구,106,60,50,10,46,35,10,1,25년.pdf
2025,인천,117,63,51,12,54,46,8,0,25년.pdf
2025,광주,42,18,18,0,24,13,11,0,25년.pdf
2025,대전,59,25,23,2,34,26,6,2,25년.pdf
2025,울산,34,17,16,1,17,12,2,3,25년.pdf
2025,세종,19,7,6,1,12,8,3,1,25년.pdf
2025,경기,311,160,156,4,151,78,70,3,25년.pdf
2025,강원,102,51,46,5,51,40,10,1,25년.pdf
2025,충북,104,40,37,3,64,55,9,0,25년.pdf
2025,충남,137,47,40,7,90,75,12,3,25년.pdf
2025,전북,82,30,28,2,52,44,8,0,25년.pdf
2025,전남,97,40,32,8,57,33,16,8,25년.pdf
2025,경북,93,46,42,4,47,31,12,4,25년.pdf
2025,경남,100,62,55,7,38,25,5,8,25년.pdf
2025,제주,42,20,16,4,22,15,2,5,25년.pdf
2025,창원,25,16,15,1,9,6,1,2,25년.pdf
2026,합계,2891,1444,1313,131,1447,1037,346,64,26년.pdf
2026,서울,360,251,221,30,109,80,23,6,26년.pdf
2026,부산,138,63,50,13,75,64,11,0,26년.pdf
2026,대구,138,76,65,11,62,49,12,1,26년.pdf
2026,인천,144,51,42,9,93,67,22,4,26년.pdf
2026,광주,53,39,37,2,14,9,5,0,26년.pdf
2026,대전,62,30,27,3,32,29,3,0,26년.pdf
2026,울산,31,16,14,2,15,10,2,3,26년.pdf
2026,세종,20,12,10,2,8,6,2,0,26년.pdf
2026,경기,654,325,319,6,329,171,150,8,26년.pdf
2026,강원,130,49,44,5,81,52,28,1,26년.pdf
2026,충북,97,38,36,2,59,48,9,2,26년.pdf
2026,충남,107,35,30,5,72,62,8,2,26년.pdf
2026,전북,225,78,75,3,147,134,13,0,26년.pdf
2026,전남,216,75,60,15,141,110,15,16,26년.pdf
2026,경북,176,87,79,8,89,61,20,8,26년.pdf
2026,경남,225,155,145,10,70,50,15,5,26년.pdf
2026,제주,77,42,38,4,35,24,5,6,26년.pdf
2026,창원,38,22,21,1,16,11,3,2,26년.pdf
