부서,업무분야,주요업무,업무키워드,비고
소방행정과,인사·조직,"소방공무원 인사·정원·조직 관리, 복무·상훈·후생복지, 인사제도 운영","인사|조직|정원|복무|상훈|복지|인력",시도별 명칭 상이
소방행정과,정책·기획,"소방행정 주요정책 수립, 중장기 계획, 성과관리, 의회·국회 대응 지원","정책|기획|성과|업무계획|의회|국회",시도별 기획부서 분리 가능
회계장비과,예산·회계,"소방예산 편성·집행, 계약·지출, 공유재산 및 물품 관리","예산|회계|계약|지출|재산|물품",시도별 예산부서 분리 가능
회계장비과,소방장비,"소방차량·개인보호장비·구조구급장비 도입과 유지관리, 장비 규격·보급 관리","소방차|장비|보호장비|구조장비|구급장비|차량",시도별 장비관리 부서명 상이
예방안전과,화재예방,"화재예방정책, 화재안전조사, 특정소방대상물 안전관리, 소방안전관리 제도 운영","예방|화재예방|화재안전조사|특정소방대상물|소방안전관리자",핵심 공통기능
예방안전과,소방시설·민원,"소방시설 설치·유지 관련 민원, 소방시설업·위험물·다중이용업소 안전관리 업무","소방시설|위험물|다중이용업소|완비증명|민원|소방시설업",세부 분장은 지역별 상이
예방안전과,안전교육,"대국민 소방안전교육·홍보, 체험교육, 취약계층 안전교육 및 예방홍보","안전교육|홍보|체험|취약계층|교육",홍보부서 분리 가능
대응총괄과,재난대응,"화재·재난 현장대응 정책, 출동체계, 현장지휘체계, 소방력 운영계획","재난대응|현장지휘|출동|소방력|화재진압|대응",시도별 대응예방과 등 명칭 상이
대응총괄과,소방용수·의용소방대,"소방용수시설 운영, 의용소방대 운영·지원, 대규모 행사 소방안전대책","소방용수|의용소방대|행사|안전대책",지역에 따라 행정부서 소관 가능
구조구급과,구조,"구조정책 수립, 구조대 운영, 생활안전·수난·산악 등 구조업무 관리","구조|생활안전|수난|산악|구조대",핵심 공통기능
구조구급과,구급,"119구급대 운영, 응급의료기관 협력, 구급품질관리, 감염관리 및 구급교육","구급|응급의료|119구급대|구급품질|감염관리|환자",핵심 공통기능
구조구급과,특수재난,"화학·생물·방사능·대형복합재난 등 특수사고 대응체계 및 전문대 운영 지원","특수재난|화학|생물|방사능|CBRN|특수대응",일부 시도는 특수대응단 직속기관
119종합상황실,신고접수·출동지령,"119 신고 접수, 화재·구조·구급 출동지령, 상황전파 및 유관기관 공조","119|신고|접수|출동지령|상황전파|공조",24시간 교대근무 중심
119종합상황실,정보통신,"119 정보통신시스템·무선망·상황관리시스템 운영, 장애 대응 및 정보보안 지원","정보통신|무선|전산|상황관리시스템|정보보안|통신",일부 시도는 정보통신과 분리
화재조사과,화재조사,"화재원인·피해 조사, 화재통계 분석, 화재조사 전문성 및 증거관리","화재조사|화재원인|피해조사|화재통계|증거",대응부서 내 팀으로 운영되기도 함
감사·청렴부서,감사·감찰,"자체감사, 복무감찰, 비위 예방, 청렴·공직윤리, 민원조사","감사|감찰|청렴|공직윤리|비위|민원조사",시도청 감사부서와 역할 분담 가능
소방교육훈련부서,교육·훈련,"신임·재직자 교육, 현장지휘·화재진압·구조구급 전문훈련, 교육과정 운영","교육|훈련|신임교육|전문교육|현장훈련|소방학교",대부분 소방학교·교육대 등 직속기관
특수대응단,특수구조·대형재난,"대형·특수재난 현장대응, 고난도 인명구조, 대테러·화생방·붕괴 등 전문구조","특수대응|특수구조|대테러|화생방|붕괴|대형재난",주로 직속기관 형태
